date,close
4/23/2007,93.24
4/24/2007,95.35
4/25/2007,98.84
4/26/2007,99.92
4/29/2007,99.8
5/1/2007,99.47
5/2/2007,100.39
5/3/2007,100.4
5/4/2007,100.81
5/7/2007,103.92
5/8/2007,105.06
5/9/2007,106.88
5/9/2007,107.34
5/10/2007,108.74
5/13/2007,109.36
5/14/2007,107.52
5/15/2007,107.34
5/16/2007,109.44
5/17/2007,110.02
5/20/2007,111.98
5/21/2007,113.54
5/22/2007,112.89
5/23/2007,110.69
5/24/2007,113.62
5/28/2007,114.35
5/29/2007,118.77
5/30/2007,121.19
6/1/2007,118.4
6/4/2007,121.33
6/5/2007,122.67
6/6/2007,123.64
6/7/2007,124.07
6/8/2007,124.49
6/10/2007,120.19
6/11/2007,120.38
6/12/2007,117.5
6/13/2007,118.75
6/14/2007,120.5
6/17/2007,125.09
6/18/2007,123.66
6/19/2007,121.55
6/20/2007,123.9
6/21/2007,123
6/24/2007,122.34
6/25/2007,119.65
6/26/2007,121.89
6/27/2007,120.56
6/28/2007,122.04
7/2/2007,121.26
7/3/2007,127.17
7/5/2007,132.75
7/6/2007,132.3
7/9/2007,130.33
7/9/2007,132.35
7/10/2007,132.39
7/11/2007,134.07
7/12/2007,137.73
7/15/2007,138.1
7/16/2007,138.91
7/17/2007,138.12
7/18/2007,140
7/19/2007,143.75
7/22/2007,143.7
7/23/2007,134.89
7/24/2007,137.26
7/25/2007,146
7/26/2007,143.85
7/29/2007,141.43
7/30/2007,131.76
8/1/2007,135
8/2/2007,136.49
8/3/2007,131.85
8/6/2007,135.25
8/7/2007,135.03
8/8/2007,134.01
8/9/2007,126.39
8/9/2007,125
8/12/2007,127.79
8/13/2007,124.03
8/14/2007,119.9
8/15/2007,117.05
8/16/2007,122.06
8/19/2007,122.22
8/20/2007,127.57
8/21/2007,132.51
8/22/2007,131.07
8/23/2007,135.3
8/26/2007,132.25
8/27/2007,126.82
8/28/2007,134.08
8/29/2007,136.25
8/30/2007,138.48
9/4/2007,144.16
9/5/2007,136.76
9/6/2007,135.01
9/7/2007,131.77
9/9/2007,136.71
9/10/2007,135.49
9/11/2007,136.85
9/12/2007,137.2
9/13/2007,138.81
9/16/2007,138.41
9/17/2007,140.92
9/18/2007,140.77
9/19/2007,140.31
9/20/2007,144.15
9/23/2007,148.28
9/24/2007,153.18
9/25/2007,152.77
9/26/2007,154.5
9/27/2007,153.47
10/1/2007,156.34
10/2/2007,158.45
10/3/2007,157.92
10/4/2007,156.24
10/5/2007,161.45
10/8/2007,167.91
10/9/2007,167.86
10/9/2007,166.79
10/10/2007,162.23
10/11/2007,167.25
10/14/2007,166.98
10/15/2007,169.58
10/16/2007,172.75
10/17/2007,173.5
10/18/2007,170.42
10/21/2007,174.36
10/22/2007,186.16
10/23/2007,185.93
10/24/2007,182.78
10/25/2007,184.7
10/28/2007,185.09
10/29/2007,187
10/30/2007,189.95
11/1/2007,187.44
11/2/2007,187.87
11/5/2007,186.18
11/6/2007,191.79
11/7/2007,186.3
11/8/2007,175.47
11/9/2007,165.37
11/11/2007,153.76
11/12/2007,169.96
11/13/2007,166.11
11/14/2007,164.3
11/15/2007,166.39
11/18/2007,163.95
11/19/2007,168.85
11/20/2007,168.46
11/22/2007,171.54
11/25/2007,172.54
11/26/2007,174.81
11/27/2007,180.22
11/28/2007,184.29
11/29/2007,182.22
12/3/2007,178.86
12/4/2007,179.81
12/5/2007,185.5
12/6/2007,189.95
12/7/2007,194.3
12/9/2007,194.21
12/10/2007,188.54
12/11/2007,190.86
12/12/2007,191.83
12/13/2007,190.39
12/16/2007,184.4
12/17/2007,182.98
12/18/2007,183.12
12/19/2007,187.21
12/20/2007,193.91
12/23/2007,198.8
12/25/2007,198.95
12/26/2007,198.57
12/27/2007,199.83
12/30/2007,198.08
1/2/2008,194.84
1/3/2008,194.93
1/4/2008,180.05
1/7/2008,177.64
1/8/2008,171.25
1/9/2008,179.4
1/9/2008,178.02
1/10/2008,172.69
1/13/2008,178.78
