year,revenues_billions,outlays_billions,on_budget,social_security,postal_service,total,debt_held_public,revenues_percent_GDP,outlays_percent_GDP,on_budget_percent_GDP,social_security_percent_GDP,postal_service_percent_GDP,total_percent_GDP,debt_held_public_percent_GDP
1962,99.7,106.8,-5.9,-1.3,,-7.1,248,17.0,18.2,-1.0,-0.2,,-1.2,42.3
1963,106.6,111.3,-4,-0.8,,-4.8,254,17.2,18.0,-0.6,-0.1,,-0.8,41.1
1964,112.6,118.5,-6.5,0.6,,-5.9,256.8,17.0,17.9,-1.0,0.1,,-0.9,38.8
1965,116.8,118.2,-1.6,0.2,,-1.4,260.8,16.5,16.7,-0.2,0.0,,-0.2,36.8
1966,130.8,134.5,-3.1,-0.6,,-3.7,263.7,16.8,17.2,-0.4,-0.1,,-0.5,33.8
1967,148.8,157.5,-12.6,4,,-8.6,266.6,17.8,18.8,-1.5,0.5,,-1.0,31.9
1968,153,178.1,-27.7,2.6,,-25.2,289.5,17.0,19.8,-3.1,0.3,,-2.8,32.3
1969,186.9,183.6,-0.5,3.7,,3.2,278.1,19.1,18.7,-0.1,0.4,,0.3,28.4
1970,192.8,195.6,-8.7,5.9,,-2.8,283.2,18.4,18.7,-0.8,0.6,,-0.3,27.1
1971,187.1,210.2,-26.1,3,,-23,303,16.8,18.8,-2.3,0.3,,-2.1,27.1
1972,207.3,230.7,-26.1,3.1,-0.4,-23.4,322.4,17.0,19.0,-2.1,0.3,0.0,-1.9,26.5
1973,230.8,245.7,-15.2,0.5,-0.2,-14.9,340.9,17.1,18.2,-1.1,0.0,0.0,-1.1,25.2
1974,263.2,269.4,-7.2,1.8,-0.8,-6.1,343.7,17.8,18.2,-0.5,0.1,-0.1,-0.4,23.2
1975,279.1,332.3,-54.1,2,-1.1,-53.2,394.7,17.4,20.7,-3.4,0.1,-0.1,-3.3,24.6
1976,298.1,371.8,-69.4,-3.2,-1.1,-73.7,477.4,16.7,20.8,-3.9,-0.2,-0.1,-4.1,26.7
1977,355.6,409.2,-49.9,-3.9,0.2,-53.7,549.1,17.6,20.2,-2.5,-0.2,0.0,-2.7,27.1
1978,399.6,458.7,-55.4,-4.3,0.5,-59.2,607.1,17.6,20.2,-2.4,-0.2,0.0,-2.6,26.7
1979,463.3,504,-39.6,-2,0.9,-40.7,640.3,18.1,19.6,-1.5,-0.1,0.0,-1.6,25.0
1980,517.1,590.9,-73.1,-1.1,0.4,-73.8,711.9,18.5,21.2,-2.6,0.0,0.0,-2.6,25.5
1981,599.3,678.2,-73.9,-5,-0.1,-79,789.4,19.1,21.6,-2.4,-0.2,0.0,-2.5,25.2
1982,617.8,745.7,-120.6,-7.9,0.6,-128,924.6,18.6,22.5,-3.6,-0.2,0.0,-3.9,27.9
1983,600.6,808.4,-207.7,0.2,-0.3,-207.8,"1,137.30",17.0,22.9,-5.9,0.0,0.0,-5.9,32.2
1984,666.4,851.8,-185.3,0.3,-0.4,-185.4,"1,307.00",16.9,21.6,-4.7,0.0,0.0,-4.7,33.1
1985,734,946.3,-221.5,9.4,-0.1,-212.3,"1,507.30",17.2,22.2,-5.2,0.2,0.0,-5.0,35.3
1986,769.2,990.4,-237.9,16.7,0,-221.2,"1,740.60",17.0,21.9,-5.3,0.4,0.0,-4.9,38.5
1987,854.3,"1,004.00",-168.4,19.6,-0.9,-149.7,"1,889.80",17.9,21.1,-3.5,0.4,0.0,-3.1,39.6
1988,909.2,"1,064.40",-192.3,38.8,-1.7,-155.2,"2,051.60",17.7,20.7,-3.7,0.8,0.0,-3.0,39.9
1989,991.1,"1,143.70",-205.4,52.4,0.3,-152.6,"2,190.70",17.8,20.6,-3.7,0.9,0.0,-2.7,39.4
1990,"1,032.00","1,253.00",-277.6,58.2,-1.6,-221,"2,411.60",17.5,21.2,-4.7,1.0,0.0,-3.7,40.9
1991,"1,055.00","1,324.20",-321.4,53.5,-1.3,-269.2,"2,689.00",17.3,21.7,-5.3,0.9,0.0,-4.4,44.1
1992,"1,091.20","1,381.50",-340.4,50.7,-0.7,-290.3,"2,999.70",17.0,21.5,-5.3,0.8,0.0,-4.5,46.8
1993,"1,154.30","1,409.40",-300.4,46.8,-1.4,-255.1,"3,248.40",17.0,20.8,-4.4,0.7,0.0,-3.8,47.9
1994,"1,258.60","1,461.80",-258.8,56.8,-1.1,-203.2,"3,433.10",17.5,20.4,-3.6,0.8,0.0,-2.8,47.8
1995,"1,351.80","1,515.70",-226.4,60.4,2,-164,"3,604.40",17.9,20.0,-3.0,0.8,0.0,-2.2,47.7
1996,"1,453.10","1,560.50",-174,66.4,0.2,-107.4,"3,734.10",18.3,19.6,-2.2,0.8,0.0,-1.4,47.0
1997,"1,579.20","1,601.10",-103.2,81.3,0,-21.9,"3,772.30",18.7,18.9,-1.2,1.0,0.0,-0.3,44.6
1998,"1,721.70","1,652.50",-29.9,99.4,-0.2,69.3,"3,721.10",19.3,18.5,-0.3,1.1,0.0,0.8,41.7
1999,"1,827.50","1,701.80",1.9,124.7,-1,125.6,"3,632.40",19.3,18.0,0.0,1.3,0.0,1.3,38.3
2000,"2,025.20","1,789.00",86.4,151.8,-2,236.2,"3,409.80",20.0,17.7,0.9,1.5,0.0,2.3,33.7
2001,"1,991.10","1,862.80",-32.4,163,-2.3,128.2,"3,319.60",18.9,17.7,-0.3,1.5,0.0,1.2,31.5
2002,"1,853.10","2,010.90",-317.4,159,0.7,-157.8,"3,540.40",17.1,18.6,-2.9,1.5,0.0,-1.5,32.7
2003,"1,782.30","2,159.90",-538.4,155.6,5.2,-377.6,"3,913.40",15.8,19.1,-4.8,1.4,0.0,-3.3,34.7
2004,"1,880.10","2,292.80",-568,151.1,4.1,-412.7,"4,295.50",15.6,19.1,-4.7,1.3,0.0,-3.4,35.7
2005,"2,153.60","2,472.00",-493.6,173.5,1.8,-318.3,"4,592.20",16.8,19.3,-3.8,1.4,0.0,-2.5,35.8
2006,"2,406.90","2,655.10",-434.5,185.2,1.1,-248.2,"4,829.00",17.6,19.5,-3.2,1.4,0.0,-1.8,35.4
2007,"2,568.00","2,728.70",-342.2,186.5,-5.1,-160.7,"5,035.10",18.0,19.1,-2.4,1.3,0.0,-1.1,35.2
2008,"2,524.00","2,982.50",-641.8,185.7,-2.4,-458.6,"5,803.10",17.1,20.2,-4.4,1.3,0.0,-3.1,39.4
2009,"2,105.00","3,517.70","-1,549.70",137.3,-0.3,"-1,412.70","7,544.70",14.6,24.4,-10.7,1.0,0.0,-9.8,52.3
2010,"2,162.70","3,457.10","-1,371.40",81.7,-4.7,"-1,294.40","9,018.90",14.6,23.3,-9.2,0.6,0.0,-8.7,60.8
2011,"2,303.50","3,603.10","-1,366.80",68,-0.8,"-1,299.60","10,128.20",15.0,23.4,-8.9,0.4,0.0,-8.4,65.8
2012,"2,450.00","3,526.60","-1,138.50",64.6,-2.7,"-1,076.60","11,281.10",15.3,22.0,-7.1,0.4,0.0,-6.7,70.3
2013,"2,775.10","3,454.90",-719.2,37.6,1.9,-679.8,"11,982.70",16.7,20.8,-4.3,0.2,0.0,-4.1,72.2
2014,"3,021.50","3,506.30",-514.3,27,2.5,-484.8,"12,779.90",17.4,20.2,-3.0,0.2,0.0,-2.8,73.7
2015,"3,249.90","3,691.80",-469.3,25.6,1.7,-442,"13,116.70",18.0,20.4,-2.6,0.1,0.0,-2.4,72.5
2016,"3,268.00","3,852.60",-620.2,34.1,1.4,-584.7,"14,167.60",17.6,20.8,-3.3,0.2,0.0,-3.2,76.4
2017,"3,316.20","3,981.60",-714.9,47.1,2.3,-665.4,"14,665.40",17.2,20.6,-3.7,0.2,0.0,-3.5,76.0
2018,"3,329.90","4,109.00",-785.3,4.7,1.5,-779.1,"15,749.60",16.4,20.2,-3.9,0.0,0.0,-3.8,77.4
2019,"3,462.20","4,446.60",-992.1,6.6,1.1,-984.4,"16,802.80",16.3,21.0,-4.7,0.0,0.0,-4.6,79.2
