id,county,state,rate
1001,Autauga,Alabama,277.9
1003,Baldwin,Alabama,188
1005,Barbour,Alabama,195.9
1007,Bibb,Alabama,207.8
1009,Blount,Alabama,106.8
1011,Bullock,Alabama,331.7
1013,Butler,Alabama,318.5
1015,Calhoun,Alabama,71.8
1017,Chambers,Alabama,283.1
1019,Cherokee,Alabama,126.3
1021,Chilton,Alabama,132.9
1023,Choctaw,Alabama,153.6
1025,Clarke,Alabama,241.2
1027,Clay,Alabama,66.3
1029,Cleburne,Alabama,89.2
1031,Coffee,Alabama,123.6
1033,Colbert,Alabama,106
1035,Conecuh,Alabama,322.3
1037,Coosa,Alabama,132.6
1039,Covington,Alabama,210.7
1041,Crenshaw,Alabama,231.6
1043,Cullman,Alabama,242.7
1045,Dale,Alabama,230.5
1047,Dallas,Alabama,288.6
1049,DeKalb,Alabama,162.4
1051,Elmore,Alabama,232.5
1053,Escambia,Alabama,530.3
1055,Etowah,Alabama,183.4
1057,Fayette,Alabama,222.4
1059,Franklin,Alabama,227.2
1061,Geneva,Alabama,245.1
1063,Greene,Alabama,140.9
1065,Hale,Alabama,158.1
1067,Henry,Alabama,203.7
1069,Houston,Alabama,225
1071,Jackson,Alabama,142.1
1073,Jefferson,Alabama,201.2
1075,Lamar,Alabama,165.3
1077,Lauderdale,Alabama,115.9
1079,Lawrence,Alabama,199
1081,Lee,Alabama,313.5
1083,Limestone,Alabama,201.5
1085,Lowndes,Alabama,304.5
1087,Macon,Alabama,216.2
1089,Madison,Alabama,137.3
1091,Marengo,Alabama,175.5
1093,Marion,Alabama,72.9
1095,Marshall,Alabama,133.9
1097,Mobile,Alabama,208.7
1099,Monroe,Alabama,341.5
1101,Montgomery,Alabama,283.5
1103,Morgan,Alabama,219.1
1105,Perry,Alabama,158.6
1107,Pickens,Alabama,206.3
1109,Pike,Alabama,222.8
1111,Randolph,Alabama,163
1113,Russell,Alabama,367.8
1115,St. Clair,Alabama,114
1117,Shelby,Alabama,102.7
1119,Sumter,Alabama,201.6
1121,Talladega,Alabama,86
1123,Tallapoosa,Alabama,242.8
1125,Tuscaloosa,Alabama,153.5
1127,Walker,Alabama,173.1
1129,Washington,Alabama,265.4
1131,Wilcox,Alabama,280.8
1133,Winston,Alabama,192.2
2013,Aleutians East,Alaska,171.8
2016,Aleutians West,Alaska,257
2020,Anchorage,Alaska,280.8
2050,Bethel,Alaska,271.5
2060,Bristol Bay,Alaska,-1
2068,Denali,Alaska,165
2070,Dillingham,Alaska,300.3
2090,Fairbanks North Star,Alaska,145.2
2100,Haines,Alaska,168.1
2110,Juneau,Alaska,173.9
2122,Kenai Peninsula,Alaska,92.6
2130,Ketchikan Gateway,Alaska,133.6
2150,Kodiak Island,Alaska,175.8
2164,Lake and Peninsula,Alaska,160.2
2170,Matanuska-Susitna,Alaska,130.5
2180,Nome,Alaska,153.3
2185,North Slope,Alaska,382.3
2188,Northwest Arctic,Alaska,241.6
2220,Sitka,Alaska,295.4
2240,Southeast Fairbanks,Alaska,169.7
2261,Valdez-Cordova,Alaska,194.2
2282,Yakutat,Alaska,-1
2290,Yukon-Koyukuk,Alaska,197
4001,Apache,Arizona,211.7
4003,Cochise,Arizona,162.4
4005,Coconino,Arizona,138.7
4007,Gila,Arizona,227.1
4009,Graham,Arizona,263
4011,Greenlee,Arizona,228.4
4012,La Paz,Arizona,239.9
4013,Maricopa,Arizona,216.4
4015,Mohave,Arizona,169.9
4017,Navajo,Arizona,209.9
4019,Pima,Arizona,203.3
4021,Pinal,Arizona,197.8
4023,Santa Cruz,Arizona,192.5
4025,Yavapai,Arizona,232
4027,Yuma,Arizona,232.8
5001,Arkansas,Arkansas,134.9
5003,Ashley,Arkansas,183.3
5005,Baxter,Arkansas,148.4
5007,Benton,Arkansas,209.4
5009,Boone,Arkansas,97.8
5011,Bradley,Arkansas,160.4
5013,Calhoun,Arkansas,141.9
5015,Carroll,Arkansas,123.9
5017,Chicot,Arkansas,218.3
5019,Clark,Arkansas,124.5
5021,Clay,Arkansas,157.2
5023,Cleburne,Arkansas,333.1
5025,Cleveland,Arkansas,187.9
5027,Columbia,Arkansas,325.7
5029,Conway,Arkansas,181.2
5031,Craighead,Arkansas,326.2
5033,Crawford,Arkansas,159.7
5035,Crittenden,Arkansas,525.5
5037,Cross,Arkansas,324.2
5039,Dallas,Arkansas,144
5041,Desha,Arkansas,213.9
5043,Drew,Arkansas,232.7
5045,Faulkner,Arkansas,194.2
5047,Franklin,Arkansas,147.1
5049,Fulton,Arkansas,183.7
5051,Garland,Arkansas,170.8
5053,Grant,Arkansas,213.8
5055,Greene,Arkansas,372.5
5057,Hempstead,Arkansas,196.3
5059,Hot Spring,Arkansas,168.5
5061,Howard,Arkansas,209.8
5063,Independence,Arkansas,101.1
5065,Izard,Arkansas,175.3
5067,Jackson,Arkansas,183.5
5069,Jefferson,Arkansas,270.8
5071,Johnson,Arkansas,168.8
5073,Lafayette,Arkansas,269.2
5075,Lawrence,Arkansas,176.1
5077,Lee,Arkansas,431.8
5079,Lincoln,Arkansas,248.5
5081,Little River,Arkansas,392.2
5083,Logan, Arkansas,133.2
5085,Lonoke, Arkansas,349.4
5087,Madison, Arkansas,187.5
5089,Marion, Arkansas,84.3
5091,Miller, Arkansas,362.8
5093,Mississippi, Arkansas,541.6
5095,Monroe, Arkansas,226.9
5097,Montgomery, Arkansas,115.9
5099,Nevada, Arkansas,212.1
5101,Newton, Arkansas,139.9
5103,Ouachita, Arkansas,119.9
5105,Perry, Arkansas,282
5107,Phillips, Arkansas,625
5109,Pike, Arkansas,211.1
5111,Poinsett, Arkansas,332.2
5113,Polk, Arkansas,195.9
5115,Pope, Arkansas,189.5
5117,Prairie, Arkansas,223.1
5119,Pulaski, Arkansas,343.6
5121,Randolph, Arkansas,121.7
5123,St. Francis, Arkansas,274.9
5125,Saline, Arkansas,231.7
5127,Scott, Arkansas,208.4
5129,Searcy, Arkansas,181.1
5131,Sebastian, Arkansas,195
5133,Sevier, Arkansas,107.6
5135,Sharp, Arkansas,114
5137,Stone, Arkansas,247.7
5139,Union, Arkansas,202.7
5141,Van Buren, Arkansas,200.9
5143,Washington, Arkansas,288.5
5145,White, Arkansas,334.4
5147,Woodruff, Arkansas,232
5149,Yell, Arkansas,309
6001,Alameda,California,246.6
6003,Alpine,California,157.2
6005,Amador,California,149.1
6007,Butte,California,327.5
6009,Calaveras,California,166.1
6011,Colusa,California,283.4
6013,Contra Costa,California,222.7
6015,Del Norte,California,262.4
6017,El Dorado,California,184.5
6019,Fresno,California,324.6
6021,Glenn,California,301.5
6023,Humboldt,California,273.6
6025,Imperial,California,283.4
6027,Inyo,California,264.6
6029,Kern,California,389.7
6031,Kings,California,249.3
6033,Lake,California,182.9
6035,Lassen,California,240.4
6037,Los Angeles,California,229.3
6039,Madera,California,409.3
6041,Marin,California,203.3
6043,Mariposa,California,272.6
6045,Mendocino,California,192
6047,Merced,California,503.7
6049,Modoc,California,263.1
6051,Mono,California,144.5
6053,Monterey,California,198.4
6055,Napa,California,299.9
6057,Nevada,California,224.1
6059,Orange,California,184.8
6061,Placer,California,256.3
6063,Plumas,California,239.1
6065,Riverside,California,294.8
6067,Sacramento,California,314.7
6069,San Benito,California,183.4
6071,San Bernardino,California,345.3
6073,San Diego,California,261.1
6075,San Francisco,California,176.6
6077,San Joaquin,California,305.5
6079,San Luis Obispo,California,177.5
6081,San Mateo,California,167.9
6083,Santa Barbara,California,223.2
6085,Santa Clara,California,245.1
6087,Santa Cruz,California,221.9
6089,Shasta,California,252.1
6091,Sierra,California,286.7
6093,Siskiyou,California,181.7
6095,Solano,California,305.4
6097,Sonoma,California,206.2
6099,Stanislaus,California,288.6
6101,Sutter,California,364
6103,Tehama,California,212.3
6105,Trinity,California,183.4
6107,Tulare,California,335.5
6109,Tuolumne,California,171.2
6111,Ventura,California,302.1
6113,Yolo,California,277.6
6115,Yuba,California,355.1
8001,Adams,Colorado,143.5
8003,Alamosa,Colorado,140.4
8005,Arapahoe,Colorado,132.9
8007,Archuleta,Colorado,119.3
8009,Baca,Colorado,146.6
8011,Bent,Colorado,142.5
8013,Boulder,Colorado,80.4
8014,Broomfield,Colorado,103.6
8015,Chaffee,Colorado,110.5
8017,Cheyenne,Colorado,215.4
8019,Clear Creek,Colorado,80.8
8021,Conejos,Colorado,189.2
8023,Costilla,Colorado,155.5
8025,Crowley,Colorado,274.2
8027,Custer,Colorado,189.9
8029,Delta,Colorado,122.7
8031,Denver,Colorado,208.8
8033,Dolores,Colorado,134.6
8035,Douglas,Colorado,98.5
8037,Eagle,Colorado,35.4
8039,Elbert,Colorado,104.1
8041,El Paso,Colorado,205.4
8043,Fremont,Colorado,342.5
8045,Garfield,Colorado,77.3
8047,Gilpin,Colorado,75.9
8049,Grand,Colorado,61.6
8051,Gunnison,Colorado,80.5
8053,Hinsdale,Colorado,92.8
8055,Huerfano,Colorado,140.9
8057,Jackson,Colorado,123.9
8059,Jefferson,Colorado,123.7
8061,Kiowa,Colorado,294.6
8063,Kit Carson,Colorado,74.2
8065,Lake,Colorado,62.1
8067,La Plata,Colorado,115.3
