id,state,county,rate,theme_range
1001,Alabama,Autauga County,179.6,172.4 - 215.1 (641)
1003,Alabama,Baldwin County,143.4,37.8 - 172.3 (647)
1005,Alabama,Barbour County,217.2,215.2 - 263.3 (645)
1007,Alabama,Bibb County,143.3,37.8 - 172.3 (647)
1009,Alabama,Blount County,112.4,37.8 - 172.3 (647)
1011,Alabama,Bullock County,322.5,263.4 - 329.2 (643)
1013,Alabama,Butler County,306.8,263.4 - 329.2 (643)
1015,Alabama,Calhoun County,72.1,37.8 - 172.3 (647)
1017,Alabama,Chambers County,343.8,329.3 - 1136.3 (644)
1019,Alabama,Cherokee County,124.8,37.8 - 172.3 (647)
1021,Alabama,Chilton County,86.2,37.8 - 172.3 (647)
1023,Alabama,Choctaw County,210.2,172.4 - 215.1 (641)
1025,Alabama,Clarke County,182,172.4 - 215.1 (641)
1027,Alabama,Clay County,90.4,37.8 - 172.3 (647)
1029,Alabama,Cleburne County,88.3,37.8 - 172.3 (647)
1031,Alabama,Coffee County,158,37.8 - 172.3 (647)
1033,Alabama,Colbert County,90.5,37.8 - 172.3 (647)
1035,Alabama,Conecuh County,344.3,329.3 - 1136.3 (644)
1037,Alabama,Coosa County,121.6,37.8 - 172.3 (647)
1039,Alabama,Covington County,288.1,263.4 - 329.2 (643)
1041,Alabama,Crenshaw County,202.1,172.4 - 215.1 (641)
1043,Alabama,Cullman County,211.3,172.4 - 215.1 (641)
1045,Alabama,Dale County,251.3,215.2 - 263.3 (645)
1047,Alabama,Dallas County,314.5,263.4 - 329.2 (643)
1049,Alabama,DeKalb County,155.3,37.8 - 172.3 (647)
1051,Alabama,Elmore County,187.8,172.4 - 215.1 (641)
1053,Alabama,Escambia County,566.6,329.3 - 1136.3 (644)
1055,Alabama,Etowah County,192.2,172.4 - 215.1 (641)
1057,Alabama,Fayette County,265.7,263.4 - 329.2 (643)
1059,Alabama,Franklin County,150.9,37.8 - 172.3 (647)
1061,Alabama,Geneva County,286.3,263.4 - 329.2 (643)
1063,Alabama,Greene County,168,37.8 - 172.3 (647)
1065,Alabama,Hale County,156,37.8 - 172.3 (647)
1067,Alabama,Henry County,208.9,172.4 - 215.1 (641)
1069,Alabama,Houston County,208.3,172.4 - 215.1 (641)
1071,Alabama,Jackson County,129.9,37.8 - 172.3 (647)
1073,Alabama,Jefferson County,155.4,37.8 - 172.3 (647)
1075,Alabama,Lamar County,204.4,172.4 - 215.1 (641)
1077,Alabama,Lauderdale County,101.7,37.8 - 172.3 (647)
1079,Alabama,Lawrence County,119.1,37.8 - 172.3 (647)
1081,Alabama,Lee County,381.6,329.3 - 1136.3 (644)
1083,Alabama,Limestone County,174.3,172.4 - 215.1 (641)
1085,Alabama,Lowndes County,304.3,263.4 - 329.2 (643)
1087,Alabama,Macon County,207.8,172.4 - 215.1 (641)
1089,Alabama,Madison County,208.3,172.4 - 215.1 (641)
1091,Alabama,Marengo County,152.1,37.8 - 172.3 (647)
1093,Alabama,Marion County,124.1,37.8 - 172.3 (647)
1095,Alabama,Marshall County,115.5,37.8 - 172.3 (647)
1097,Alabama,Mobile County,203.4,172.4 - 215.1 (641)
1099,Alabama,Monroe County,363.3,329.3 - 1136.3 (644)
1101,Alabama,Montgomery County,280.2,263.4 - 329.2 (643)
1103,Alabama,Morgan County,197,172.4 - 215.1 (641)
1105,Alabama,Perry County,157.3,37.8 - 172.3 (647)
1107,Alabama,Pickens County,232.5,215.2 - 263.3 (645)
