Year,Athlete,Country,Time,Marathon
1966,Bobbi Gibb,United States,3:21:40,Boston
1967,Bobbi Gibb,United States,3:27:17,Boston
1968,Bobbi Gibb,United States,3:30:00,Boston
1969,Mae Berman,United States,3:22:46,Boston
1970,Mae Berman,United States,3:05:07,Boston
1971,Mae Berman,United States,3:08:30,Boston
1972,Nina Kuscsik,United States,3:10:26,Boston
1973,Jacqueline Hansen,United States,3:05:59,Boston
1974,Miki Gorman,United States,2:47:11,Boston
1975,Liane Winter,Germany West,2:42:24,Boston
1976,Kim Merritt,United States,2:47:10,Boston
1977,Miki Gorman,United States,2:48:33,Boston
1978,Gayle Barron,United States,2:44:52,Boston
1979,Joan Benoit,United States,2:35:15,Boston
1980,Jacqueline Gareau,Canada,2:34:28,Boston
1981,Allison Roe,Zealand New,2:26:46,Boston
1982,Charlotte Teske,Germany West,2:29:33,Boston
1983,Joan Benoit,United States,2:22:43,Boston
1984,Lorraine Moller,Zealand New,2:29:28,Boston
1985,Larsen Weidenbach,United States,2:34:06,Boston
1986,Ingrid Kristiansen,Norway,2:24:55,Boston
1987,Rosa Mota,Portugal,2:25:21,Boston
1988,Rosa Mota,Portugal,2:24:30,Boston
1989,Ingrid Kristiansen,Norway,2:24:33,Boston
1990,Rosa Mota,Portugal,2:25:24,Boston
1991,Wanda Panfil,Poland,2:24:18,Boston
1992,Olga Markova,Russia,2:23:43,Boston
1993,Olga Markova,Russia,2:25:27,Boston
1994,Uta Pippig,Germany,2:21:45,Boston
1995,Uta Pippig,Germany,2:25:11,Boston
1996,Uta Pippig,Germany,2:27:12,Boston
1997,Fatuma Roba,Ethiopia,2:26:23,Boston
1998,Fatuma Roba,Ethiopia,2:23:21,Boston
1999,Fatuma Roba,Ethiopia,2:23:25,Boston
2000,Catherine Ndereba,Kenya,2:26:11,Boston
2001,Catherine Ndereba,Kenya,2:23:53,Boston
2002,Margaret Okayo,Kenya,2:20:43,Boston
2003,Svetlana Zakharova,Russia,2:25:19,Boston
2004,Catherine Ndereba,Kenya,2:24:27,Boston
2005,Catherine Ndereba,Kenya,2:25:12,Boston
2006,Rita Jeptoo,Kenya,2:23:38,Boston
2007,Lidiya Grigoryeva,Russia,2:29:18,Boston
2008,Dire Tune,Ethiopia,2:25:25,Boston
2009,Salina Kosgei,Kenya,2:32:16,Boston
2010,Teyba Erkesso,Ethiopia,2:26:11,Boston
2011,Caroline Kilel,Kenya,2:22:36,Boston
2012,Sharon Cherop,Kenya,2:31:50,Boston
2013,Rita Jeptoo,Kenya,2:26:25,Boston
2014,Rita Jeptoo,Kenya,2:18:57,Boston
2014,Buzunesh Deba,Ethiopia,2:19:59,Boston
2015,Caroline Rotich,Kenya,2:24:55,Boston
2016,Atsede Baysa,Ethiopia,2:29:19,Boston
2017,Edna Kiplagat,Kenya,2:21:52,Boston
2018,Desi Linden,United States,2:39:54,Boston
2019,Worknesh Degefa,Ethiopia,2:23:31,Boston
