Year,Athlete,Country,Time,Marathon
1981,Joyce Smith,United Kingdom,2:29:57,London
1982,Joyce Smith,United Kingdom,2:29:43,London
1983,Grete Waitz,Norway,2:25:29,London
1984,Ingrid Kristiansen,Norway,2:24:26,London
1985,Ingrid Kristiansen,Norway,2:21:06,London
1986,Grete Waitz,Norway,2:24:54,London
1987,Ingrid Kristiansen,Norway,2:22:48,London
1988,Ingrid Kristiansen,Norway,2:25:41,London
1989,Véronique Marot,United Kingdom,2:25:56,London
1990,Wanda Panfil,Poland,2:26:31,London
1991,Rosa Mota,Portugal,2:26:14,London
1992,Katrin Dörre-Heinig,Germany,2:29:39,London
1993,Katrin Dörre-Heinig,Germany,2:27:09,London
1994,Katrin Dörre-Heinig,Germany,2:32:34,London
1995,Ma?gorzata Soba?ska,Poland,2:27:43,London
1996,Liz McColgan,United Kingdom,2:27:54,London
1997,Joyce Chepchumba,Kenya,2:26:51,London
1998,Catherina McKiernan,Ireland,2:26:26,London
1999,Joyce Chepchumba,Kenya,2:23:22,London
2000,Tegla Laroupe,Kenya,2:24:33,London
2001,Derartu Tulu,Ethiopia,2:23:57,London
2002,Paula Radcliffe,United Kingdom,2:18:56,London
2003,Paula Radcliffe,United Kingdom,2:15:25,London
2004,Margaret Okayo,Kenya,2:22:35,London
2005,Paula Radcliffe,United Kingdom,2:17:42,London
2006,Deena Kastor,United States,2:19:35,London
2007,Zhou Chunxiu,China,2:20:38,London
2008,Irina Mikitenko,Germany,2:24:14,London
2009,Irina Mikitenko,Germany,2:22:11,London
2010,Aselefech Mergia,Ethiopia,2:22:38,London
2011,Mary Keitany,Kenya,2:19:19,London
2012,Mary Keitany,Kenya,2:18:37,London
2013,Priscah Jeptoo,Kenya,2:20:15,London
2014,Edna Kiplagat,Kenya,2:20:21,London
2015,Tigist Tufa,Ethiopia,2:23:21,London
2016,Jemima Sumgong,Kenya,2:22:58,London
2017,Mary Keitany,Kenya,2:17:01,London
2018,Vivian Cheruiyot,Kenya,2:18:31,London
2019,Brigid Kosgei,Kenya,2:18:20,London
