Year,Athlete,Country,Time,Marathon
1972,Nina Kuscsik,United States,3:08:41,New York
1973,Nina Kuscsik,United States,2:57:07,New York
1974,Kathrine Switzer,United States,3:07:29,New York
1975,Kim Merritt,United States,2:46:14,New York
1976,Miki Gorman,United States,2:39:11,New York
1977,Miki Gorman,United States,2:43:10,New York
1978,Grete Waitz,Norway,2:32:30,New York
1979,Grete Waitz,Norway,2:27:33,New York
1980,Grete Waitz,Norway,2:25:42,New York
1981,Allison Roe,New Zealand,2:25:29,New York
1982,Grete Waitz,Norway,2:27:14,New York
1983,Grete Waitz,Norway,2:27:00,New York
1984,Grete Waitz,Norway,2:29:30,New York
1985,Grete Waitz,Norway,2:28:34,New York
1986,Grete Waitz,Norway,2:28:06,New York
1987,Priscilla Welch,United Kingdom,2:30:17,New York
1988,Grete Waitz,Norway,2:28:07,New York
1989,Ingrid Kristiansen,Norway,2:25:30,New York
1990,Wanda Panfil,Poland,2:30:45,New York
1991,Liz McColgan,United Kingdom,2:27:32,New York
1992,Lisa Ondieki,Australia,2:24:40,New York
1993,Uta Pippig,Germany,2:26:24,New York
1994,Tegla Loroupe,Kenya,2:27:37,New York
1995,Tegla Loroupe,Kenya,2:28:06,New York
1996,Anu?a C?tun?,Romania,2:28:18,New York
1997,Franziska Rochat-Moser,Switzerland,2:28:43,New York
1998,Franca Fiacconi,Italy,2:25:17,New York
1999,Adriana Fernandez,Mexico,2:25:06,New York
2000,Lyudmila Petrova,Russia,2:25:45,New York
2001,Margaret Okayo,Kenya,2:24:21,New York
2002,Joyce Chepchumba,Kenya,2:25:56,New York
2003,Margaret Okayo,Kenya,2:22:31,New York
2004,Paula Radcliffe,United Kingdom,2:23:10,New York
2005,Je?ena Prokop?uka,Latvia,2:24:41,New York
2006,Je?ena Prokop?uka,Latvia,2:25:05,New York
2007,Paula Radcliffe,United Kingdom,2:23:09,New York
2008,Paula Radcliffe,United Kingdom,2:23:56,New York
2009,Derartu Tulu,Ethiopia,2:28:52,New York
2010,Edna Kiplagat,Kenya,2:28:20,New York
2011,Firehiwot Dado,Ethiopia,2:23:15,New York
2013,Priscah Jeptoo,Kenya,2:25:07,New York
2014,Mary Keitany,Kenya,2:25:07,New York
2015,Mary Keitany,Kenya,2:24:25,New York
2016,Mary Keitany,Kenya,2:24:26,New York
2017,Shalane Flanagan,United States,2:26:53,New York
2018,Mary Keitany,Kenya,2:22:48,New York
2019,Joyciline Jepkosgei,Kenya,2:22:38,New York
