Year,Athlete,Country,Time,Marathon
2020,Lonah Chemtai Salpeter,Israel,2:17:45,Tokyo
2019,Ruti Aga,Ethiopia,2:20:40,Tokyo
2018,Birhane Dibaba,Ethiopia,2:19:51,Tokyo
2017,Sarah Chepchirchir,Kenya,2:19:47,Tokyo
2016,Helah Kiprop,Kenya,2:21:27,Tokyo
2015,Birhane Dibaba,Ethiopia,2:23:15,Tokyo
2014,Tirfi Tsegaye,Ethiopia,2:22:23,Tokyo
2013,Aberu Kebede,Ethiopia,2:25:34,Tokyo
2012,Atsede Habtamu,Ethiopia,2:25:28,Tokyo
2011,Noriko Higuchi [9],Japan,2:28:49,Tokyo
2010,Alevtina Biktimirova,Russia,2:34:39,Tokyo
2009,Mizuho Nasukawa,Japan,2:25:38,Tokyo
2008,Claudia Dreher,Germany,2:35:35,Tokyo
2007,Hitomi Niiya,Japan,2:31:02,Tokyo
