Year,Athlete,Country,Time,Marathon
1897,John McDermott,United States,2:55:10,Boston
1898,Ronald MacDonald,Canada,2:42:00,Boston
1899,Lawrence Brignolia,United States,2:54:38,Boston
1900,Jack Caffery,Canada,2:39:44,Boston
1901,Jack Caffery,Canada,2:29:23,Boston
1902,Sammy Mellor,United States,2:43:12,Boston
1903,John Lorden,United States,2:41:29,Boston
1904,Michael Spring,United States,2:38:04,Boston
1905,Frederick Lorz,United States,2:38:25,Boston
1906,Tim Ford,United States,2:45:45,Boston
1907,Thomas Longboat,Canada,2:24:24,Boston
1908,Thomas Morrissey,United States,2:25:43,Boston
1909,Henri Renaud,United States,2:53:36,Boston
1910,Fred Cameron,Canada,2:28:52,Boston
1911,Clarence DeMar,United States,2:21:39,Boston
1912,Michael Ryan,United States,2:21:18,Boston
1913,Fritz Carlson,United States,2:25:14,Boston
1914,James Duffy,Canada,2:25:14,Boston
1915,Fabre Fabre,Canada,2:31:41,Boston
1916,Arthur Roth,United States,2:27:16,Boston
1917,Bill Kennedy,United States,2:28:37,Boston
1918,Camp Devens,United States,2:29:53,Boston
1919,Carl Linder,United States,2:29:13,Boston
1920,Peter Trivoulides,Greece,2:29:31,Boston
1921,Frank Zuna,United States,2:18:57,Boston
1922,Clarence DeMar,United States,2:18:10,Boston
1923,Clarence DeMar,United States,2:23:47,Boston
1924,Clarence DeMar,United States,2:29:40,Boston
1925,Charles Mellor,United States,2:33:00,Boston
1926,Johnny Miles,Canada,2:25:40,Boston
1927,Clarence DeMar,United States,2:40:22,Boston
1928,Clarence DeMar,United States,2:37:07,Boston
1929,Johnny Miles,Canada,2:33:08,Boston
1930,Clarence DeMar,United States,2:34:48,Boston
1931,James Henigan,United States,2:46:45,Boston
1932,Paul Bruyn,Germany,2:33:36,Boston
1933,Leslie Pawson,United States,2:31:01,Boston
1934,Dave Komonen,Canada,2:32:53,Boston
1935,John Kelley,United States,2:32:07,Boston
1936,Ellison Brown,United States,2:33:40,Boston
1937,Walter Young,Canada,2:33:20,Boston
1938,Leslie Pawson,United States,2:35:34,Boston
1939,Ellison Brown,United States,2:28:51,Boston
1940,,Canada,2:28:28,Boston
1941,Leslie Pawson,United States,2:30:38,Boston
1942,Joe Smith,United States,2:26:51,Boston
1943,,Canada,2:28:25,Boston
1944,,Canada,2:31:50,Boston
1945,John Kelley,United States,2:30:40,Boston
1946,Stylianos Kyriakides,Greece,2:29:27,Boston
1947,Suh Yun,South Korea,2:25:39,Boston
1948,,Canada,2:31:02,Boston
1949,Karl Leandersson,Sweden,2:31:50,Boston
1950,Kee Yong,South Korea,2:32:39,Boston
1951,Shigeki Tanaka,Japan,2:27:45,Boston
1952,Doroteo Flores,Guatemala,2:31:53,Boston
1953,Keizo Yamada,Japan,2:18:51,Boston
1954,Veikko Karvonen,Finland,2:20:39,Boston
1955,Hideo Hamamura,Japan,2:18:22,Boston
1956,Antti Viskari,Finland,2:14:14,Boston
1957,John Kelley,United States,2:20:05,Boston
1958,Franjo Mihali,Yugoslavia,2:25:54,Boston
1959,Eino Oksanen,Finland,2:22:42,Boston
1960,Paavo Kotila,Finland,2:20:54,Boston
1961,Eino Oksanen,Finland,2:23:39,Boston
1962,Eino Oksanen,Finland,2:23:48,Boston
1963,Aur Vandendriessche,Belgium,2:18:58,Boston
1964,Aur Vandendriessche,Belgium,2:19:59,Boston
1965,Morio Shigematsu,Japan,2:16:33,Boston
1966,Kenji Kimihara,Japan,2:17:11,Boston
1967,Dave McKenzie,Zealand New,2:15:45,Boston
1968,Amby Burfoot,United States,2:22:17,Boston
1969,Yoshiaki Unetani,Japan,2:13:49,Boston
1970,Ron Hill,United Kingdom,2:10:30,Boston
1971,Alvaro Mej,Colombia,2:18:45,Boston
1972,Olavi Suomalainen,Finland,2:15:39,Boston
1973,Jon Anderson,United States,2:16:03,Boston
1974,Neil Cusack,Ireland,2:13:39,Boston
1975,Bill Rodgers,United States,2:09:55,Boston
1976,Jack Fultz,United States,2:20:19,Boston
1977,Jerome Drayton,Canada,2:14:46,Boston
1978,Bill Rodgers,United States,2:10:13,Boston
1979,Bill Rodgers,United States,2:09:27,Boston
1980,Bill Rodgers,United States,2:12:11,Boston
1981,Toshihiko Seko,Japan,2:09:26,Boston
1982,Alberto Salazar,United States,2:08:52,Boston
1983,Greg Meyer,United States,2:09:00,Boston
1984,Geoff Smith,United Kingdom,2:10:34,Boston
1985,Geoff Smith,United Kingdom,2:14:05,Boston
1986,Robert Castella,Australia,2:07:51,Boston
1987,Toshihiko Seko,Japan,2:11:50,Boston
1988,Ibrahim Hussein,Kenya,2:08:43,Boston
1989,Abebe Mekonnen,Ethiopia,2:09:06,Boston
1990,Gelindo Bordin,Italy,2:08:19,Boston
1991,Ibrahim Hussein,Kenya,2:11:06,Boston
1992,Ibrahim Hussein,Kenya,2:08:14,Boston
1993,Cosmas Ndeti,Kenya,2:09:33,Boston
1994,Cosmas Ndeti,Kenya,2:07:15,Boston
1995,Cosmas Ndeti,Kenya,2:09:22,Boston
1996,Moses Tanui,Kenya,2:09:15,Boston
1997,Lameck Aguta,Kenya,2:10:34,Boston
1998,Moses Tanui,Kenya,2:07:34,Boston
1999,Joseph Chebet,Kenya,2:09:52,Boston
2000,Elijah Lagat,Kenya,2:09:47,Boston
2001,Bong Ju,South Korea,2:09:43,Boston
2002,Rodgers Rop,Kenya,2:09:02,Boston
2003,Kipkoech Cheruiyot,Kenya,2:10:11,Boston
2004,Timothy Cherigat,Kenya,2:10:37,Boston
2005,Hailu Negussie,Ethiopia,2:11:44,Boston
2006,Kipkoech Cheruiyot,Kenya,2:07:14,Boston
2007,Kipkoech Cheruiyot,Kenya,2:14:13,Boston
2008,Kipkoech Cheruiyot,Kenya,2:07:45,Boston
2009,Deriba Merga,Ethiopia,2:08:42,Boston
2010,Kiprono Cheruiyot,Kenya,2:05:52,Boston
2011,Geoffrey Mutai,Kenya,2:03:02,Boston
2012,Wesley Korir,Kenya,2:12:40,Boston
2013,Desisa Benti,Ethiopia,2:10:22,Boston
2014,Meb Keflezighi,United States,2:08:37,Boston
2015,Desisa Benti,Ethiopia,2:09:17,Boston
2016,Berhanu Hayle,Ethiopia,2:12:45,Boston
2017,Geoffrey Kirui,Kenya,2:09:37,Boston
2018,Yuki Kawauchi,Japan,2:15:58,Boston
2019,Lawrence Cherono,Kenya,2:07:57,Boston
