Year,Athlete,Country,Time
1977,Dan Cloeter,United States,2:17:52
1978,Mark Stanforth,United States,2:19:20
1979,Dan Cloeter,United States,2:23:20
1980,Frank Richardson,United States,2:14:04
1981,Phil Coppess,United States,2:16:13
1982,Greg Meyer,United States,2:10:59
1983,Joseph Nzau,Kenya,2:09:44
1984,Steve Jones,United Kingdom,2:08:05
1985,Steve Jones,United Kingdom,2:07:13
1986,Toshihiko Seko,Japan,2:08:27
1988,Alejandro Cruz,Mexico,2:08:57
1989,Paul Davies-Hale,United Kingdom,2:11:25
1990,Martín Pitayo,Mexico,2:09:41
1991,Joseildo Rocha,Brazil,2:14:33
1992,José Cesar de Souza,Brazil,2:16:14
1993,Luíz Antônio,Brazil,2:13:14
1994,Luíz Antônio,Brazil,2:11:16
1995,Eamonn Martin,United Kingdom,2:11:18
1996,Paul Evans,United Kingdom,2:08:52
1997,Khalid Khannouchi,Morocco,2:07:10
1998,Ondoro Osoro,Kenya,2:06:54
1999,Khalid Khannouchi,Morocco,2:05:42
2000,Khalid Khannouchi,United States,2:07:01
2001,Ben Kimondiu,Kenya,2:08:52
2002,Khalid Khannouchi,United States,2:05:56
2003,Evans Rutto,Kenya,2:05:50
2004,Evans Rutto,Kenya,2:06:16
2005,Felix Limo,Kenya,2:07:02
2006,Robert Cheruiyot,Kenya,2:07:35
2007,Patrick Ivuti,Kenya,2:11:11
2008,Evans Cheruiyot,Kenya,2:06:25
2009,Samuel Wanjiru,Kenya,2:05:41
2010,Samuel Wanjiru,Kenya,2:06:23
2011,Moses Mosop,Kenya,2:05:37
2012,Tsegaye Kebede,Ethiopia,2:04:38
2013,Dennis Kimetto,Kenya,2:03:45
2014,Eliud Kipchoge,Kenya,2:04:11
2015,Dickson Chumba,Kenya,2:09:25
2016,Abel Kirui,Kenya,2:11:23
2017,Galen Rupp,United States,2:09:20
2018,Mo Farah,United Kingdom,2:05:11
2019,Lawrence Cherono,Kenya,2:05:45
