Year,Athlete,Country,Time,Marathon
1981,Dick Beardsley and Inge Simonson (Tie),United States and Norway,2:11:48,London
1982,Hugh Jones,United Kingdom,2:09:24,London
1983,Mike Gratton,United Kingdom,2:09:43,London
1984,Charlie Spedding,United Kingdom,2:09:57,London
1985,Steve Jones,United Kingdom,2:08:16,London
1986,Toshihiko Seko,Japan,2:10:02,London
1987,Hiromi Taniguchi,Japan,2:09:50,London
1988,Henrik Jørgensen,Denmark,2:10:20,London
1989,Douglas Wakiihuri,Kenya,2:09:03,London
1990,Allister Hutton,United Kingdom,2:10:10,London
1991,Yakov Tolstikov,Soviet Union,2:09:17,London
1992,António Pinto,Portugal,2:10:02,London
1993,Eamonn Martin,United Kingdom,2:10:50,London
1994,Dionicio Cerón,Mexico,2:08:53,London
1995,Dionicio Cerón,Mexico,2:08:30,London
1996,Dionicio Cerón,Mexico,2:10:00,London
1997,António Pinto,Portugal,2:07:55,London
1998,Abel Antón,Spain,2:07:57,London
1999,Abdelkader El Mouaziz,Morocco,2:07:57,London
2000,António Pinto,Portugal,2:06:36,London
2001,Abdelkader El Mouaziz,Morocco,2:07:09,London
2002,Khalid Khannouchi,United States,2:05:38,London
2003,Gezahegne Abera,Ethiopia,2:07:56,London
2004,Evans Rutto,Kenya,2:06:18,London
2005,Martin Lel,Kenya,2:07:35,London
2006,Felix Limo,Kenya,2:06:39,London
2007,Martin Lel,Kenya,2:07:41,London
2008,Martin Lel,Kenya,2:05:15,London
2009,Samuel Wanjiru,Kenya,2:05:10,London
2010,Tsegaye Kebede,Ethiopia,2:05:19,London
2011,Emmanuel Mutai,Kenya,2:04:40,London
2012,Wilson Kipsang,Kenya,2:04:44,London
2013,Tsegaye Kebede,Ethiopia,2:06:04,London
2014,Wilson Kipsang,Kenya,2:04:29,London
2015,Eliud Kipchoge,Kenya,2:04:42,London
2016,Eliud Kipchoge,Kenya,2:03:05,London
2017,Daniel Wanjiru,Kenya,2:05:48,London
2018,Eliud Kipchoge,Kenya,2:04:17,London
2019,Eliud Kipchoge,Kenya,2:02:37,London
