Year,Athlete,Country,Time,Marathon
1970,Gary Muhrcke,United States,2:31:38,New York
1971,Norman Higgins,United States,2:22:54,New York
1972,Sheldon Karlin,United States,2:27:52,New York
1973,Tom Fleming,United States,2:21:54,New York
1974,Norbert Sander,United States,2:26:30,New York
1975,Tom Fleming,United States,2:19:27,New York
1976,Bill Rodgers,United States,2:10:10,New York
1977,Bill Rodgers,United States,2:11:28,New York
1978,Bill Rodgers,United States,2:12:12,New York
1979,Bill Rodgers,United States,2:11:42,New York
1980,Alberto Salazar,United States,2:09:41,New York
1981,Alberto Salazar,United States,2:08:13,New York
1982,Alberto Salazar,United States,2:09:29,New York
1983,Rod Dixon,New Zealand,2:08:59,New York
1984,Orlando Pizzolato,Italy,2:14:53,New York
1985,Orlando Pizzolato,Italy,2:11:34,New York
1986,Gianni Poli,Italy,2:11:06,New York
1987,Ibrahim Hussein,Kenya,2:11:01,New York
1988,Steve Jones,United Kingdom,2:08:20,New York
1989,Juma Ikangaa,Tanzania,2:08:01,New York
1990,Douglas Wakiihuri,Kenya,2:12:39,New York
1991,Salvador García,Mexico,2:09:28,New York
1992,Willie Mtolo,South Africa,2:09:29,New York
1993,Andrés Espinosa,Mexico,2:10:04,New York
1994,Germán Silva,Mexico,2:11:21,New York
1995,Germán Silva,Mexico,2:11:00,New York
1996,Giacomo Leone,Italy,2:09:54,New York
1997,John Kagwe,Kenya,2:08:12,New York
1998,John Kagwe,Kenya,2:08:45,New York
1999,Joseph Chebet,Kenya,2:09:14,New York
2000,Abdelkader El Mouaziz,Morocco,2:10:09,New York
2001,Tesfaye Jifar,Ethiopia,2:07:43,New York
2002,Rodgers Rop,Kenya,2:08:07,New York
2003,Martin Lel,Kenya,2:10:30,New York
2004,Hendrick Ramaala,South Africa,2:09:28,New York
2005,Paul Tergat,Kenya,2:09:30,New York
2006,Marílson Gomes dos Santos,Brazil,2:09:58,New York
2007,Martin Lel,Kenya,2:09:04,New York
2008,Marílson Gomes dos Santos,Brazil,2:08:43,New York
2009,Meb Keflezighi,United States,2:09:15,New York
2010,Gebregziabher Gebremariam,Ethiopia,2:08:14,New York
2011,Geoffrey Mutai,Kenya,2:05:05,New York
2013,Geoffrey Mutai,Kenya,2:08:24,New York
2014,Wilson Kipsang,Kenya,2:10:59,New York
2015,Stanley Biwott,Kenya,2:10:34,New York
2016,Ghirmay Ghebreslassie,Eritrea,2:07:51,New York
2017,Geoffrey Kamworor,Kenya,2:10:53,New York
2018,Lelisa Desisa,Ethiopia,2:05:59,New York
2019,Geoffrey Kamworor,Kenya,2:08:13,New York
