Year,Athlete,Country,Time,Marathon
2020,Birhanu Legese,Ethiopia,2:04:15,Tokyo
2019,Birhanu Legese,Ethiopia,2:04:48,Tokyo
2018,Dickson Chumba,Kenya,2:05:30,Tokyo
2017,Wilson Kipsang,Kenya,2:03:58,Tokyo
2016,Feyisa Lilesa,Ethiopia,2:06:56,Tokyo
2015,Endeshaw Negesse,Ethiopia,2:06:00,Tokyo
2014,Dickson Chumba,Kenya,2:05:42,Tokyo
2013,Dennis Kimetto,Kenya,2:06:50,Tokyo
2012,Michael Kipyego,Kenya,2:07:37,Tokyo
2011,Hailu Mekonnen,Ethiopia,2:07:35,Tokyo
2010,Masakazu Fujiwara,Japan,2:12:19,Tokyo
2009,Salim Kipsang,Kenya,2:10:27,Tokyo
2008,Viktor Röthlin,Switzerland,2:07:23,Tokyo
2007,Daniel Njenga,Kenya,2:09:45,Tokyo
