id,date,variable,value
0,9/15/2014,AMZN,331.320007
1,9/22/2014,AMZN,323.209991
2,9/29/2014,AMZN,322.73999
3,10/6/2014,AMZN,311.390015
4,10/13/2014,AMZN,303.640015
5,10/20/2014,AMZN,287.059998
6,10/27/2014,AMZN,305.459991
7,11/3/2014,AMZN,299.859985
8,11/10/2014,AMZN,327.820007
9,11/17/2014,AMZN,332.630005
10,11/24/2014,AMZN,338.640015
11,12/1/2014,AMZN,312.630005
12,12/8/2014,AMZN,307.320007
13,12/15/2014,AMZN,299.899994
14,12/22/2014,AMZN,309.089996
15,12/29/2014,AMZN,308.519989
16,1/5/2015,AMZN,296.929993
17,1/12/2015,AMZN,290.73999
18,1/19/2015,AMZN,312.390015
19,1/26/2015,AMZN,354.529999
20,2/2/2015,AMZN,374.279999
21,2/9/2015,AMZN,381.829987
22,2/16/2015,AMZN,383.660004
23,2/23/2015,AMZN,380.160004
24,3/2/2015,AMZN,380.089996
25,3/9/2015,AMZN,370.579987
26,3/16/2015,AMZN,378.48999
27,3/23/2015,AMZN,370.559998
28,3/30/2015,AMZN,372.25
29,4/6/2015,AMZN,382.649994
30,4/13/2015,AMZN,375.559998
31,4/20/2015,AMZN,445.100006
32,4/27/2015,AMZN,422.869995
33,5/4/2015,AMZN,433.690002
34,5/11/2015,AMZN,426
35,5/18/2015,AMZN,427.630005
36,5/25/2015,AMZN,429.230011
37,6/1/2015,AMZN,426.950012
38,6/8/2015,AMZN,429.920013
39,6/15/2015,AMZN,434.920013
40,6/22/2015,AMZN,438.100006
41,6/29/2015,AMZN,437.709991
42,7/6/2015,AMZN,443.51001
43,7/13/2015,AMZN,483.01001
44,7/20/2015,AMZN,529.419983
45,7/27/2015,AMZN,536.150024
46,8/3/2015,AMZN,522.619995
47,8/10/2015,AMZN,531.52002
48,8/17/2015,AMZN,494.470001
49,8/24/2015,AMZN,518.01001
50,8/31/2015,AMZN,499
51,9/7/2015,AMZN,529.440002
52,9/14/2015,AMZN,540.26001
53,9/21/2015,AMZN,524.25
54,9/28/2015,AMZN,532.539978
55,10/5/2015,AMZN,539.799988
56,10/12/2015,AMZN,570.76001
57,10/19/2015,AMZN,599.030029
58,10/26/2015,AMZN,625.900024
59,11/2/2015,AMZN,659.369995
60,11/9/2015,AMZN,642.349976
61,11/16/2015,AMZN,668.450012
62,11/23/2015,AMZN,673.26001
63,11/30/2015,AMZN,672.640015
64,12/7/2015,AMZN,640.150024
65,12/14/2015,AMZN,664.140015
66,12/21/2015,AMZN,662.789978
67,12/28/2015,AMZN,675.890015
68,1/4/2016,AMZN,607.049988
69,1/11/2016,AMZN,570.179993
70,1/18/2016,AMZN,596.380005
71,1/25/2016,AMZN,587
72,2/1/2016,AMZN,502.130005
73,2/8/2016,AMZN,507.079987
74,2/15/2016,AMZN,534.900024
75,2/22/2016,AMZN,555.22998
76,2/29/2016,AMZN,575.140015
77,3/7/2016,AMZN,569.609985
78,3/14/2016,AMZN,552.080017
79,3/21/2016,AMZN,582.950012
80,3/28/2016,AMZN,598.5
81,4/4/2016,AMZN,594.599976
82,4/11/2016,AMZN,625.890015
83,4/18/2016,AMZN,620.5
84,4/25/2016,AMZN,659.590027
85,5/2/2016,AMZN,673.950012
86,5/9/2016,AMZN,709.919983
87,5/16/2016,AMZN,702.799988
88,5/23/2016,AMZN,712.23999
89,5/30/2016,AMZN,725.539978
90,6/6/2016,AMZN,717.909973
91,6/13/2016,AMZN,706.390015
92,6/20/2016,AMZN,698.960022
93,6/27/2016,AMZN,725.679993
94,7/4/2016,AMZN,745.809998
95,7/11/2016,AMZN,735.440002
96,7/18/2016,AMZN,744.859985
97,7/25/2016,AMZN,758.809998
98,8/1/2016,AMZN,765.97998
99,8/8/2016,AMZN,772.559998
100,8/15/2016,AMZN,757.309998
101,8/22/2016,AMZN,769
102,8/29/2016,AMZN,772.440002
103,9/5/2016,AMZN,760.140015
104,9/12/2016,AMZN,778.52002
105,9/19/2016,AMZN,805.75
106,9/26/2016,AMZN,837.309998
107,10/3/2016,AMZN,839.429993
108,10/10/2016,AMZN,822.960022
109,10/17/2016,AMZN,818.98999
110,10/24/2016,AMZN,776.320007
111,10/31/2016,AMZN,755.049988
112,11/7/2016,AMZN,739.01001
113,11/14/2016,AMZN,760.159973
114,11/21/2016,AMZN,780.369995
115,11/28/2016,AMZN,740.340027
116,12/5/2016,AMZN,768.659973
117,12/12/2016,AMZN,757.77002
118,12/19/2016,AMZN,760.590027
119,12/26/2016,AMZN,749.869995
120,1/2/2017,AMZN,795.98999
121,1/9/2017,AMZN,817.140015
122,1/16/2017,AMZN,808.330017
123,1/23/2017,AMZN,835.77002
124,1/30/2017,AMZN,810.200012
125,2/6/2017,AMZN,827.460022
126,2/13/2017,AMZN,845.070007
127,2/20/2017,AMZN,845.23999
128,2/27/2017,AMZN,849.880005
129,3/6/2017,AMZN,852.460022
130,3/13/2017,AMZN,852.309998
131,3/20/2017,AMZN,845.609985
132,3/27/2017,AMZN,886.539978
133,4/3/2017,AMZN,894.880005
134,4/10/2017,AMZN,884.669983
135,4/17/2017,AMZN,898.530029
136,4/24/2017,AMZN,924.98999
137,5/1/2017,AMZN,934.150024
138,5/8/2017,AMZN,961.349976
139,5/15/2017,AMZN,959.840027
140,5/22/2017,AMZN,995.780029
141,5/29/2017,AMZN,1006.72998
142,6/5/2017,AMZN,978.309998
143,6/12/2017,AMZN,987.710022
144,6/19/2017,AMZN,1003.73999
145,6/26/2017,AMZN,968
146,7/3/2017,AMZN,978.76001
147,7/10/2017,AMZN,1001.809998
148,7/17/2017,AMZN,1025.670044
149,7/24/2017,AMZN,1020.039978
150,7/31/2017,AMZN,987.580017
151,8/7/2017,AMZN,967.98999
152,8/14/2017,AMZN,958.469971
153,8/21/2017,AMZN,945.26001
154,8/28/2017,AMZN,978.25
155,9/4/2017,AMZN,965.900024
156,9/11/2017,AMZN,986.789978
157,9/18/2017,AMZN,955.099976
158,9/25/2017,AMZN,961.349976
159,10/2/2017,AMZN,989.580017
160,10/9/2017,AMZN,1002.940002
161,10/16/2017,AMZN,982.909973
162,10/23/2017,AMZN,1100.949951
163,10/30/2017,AMZN,1111.599976
164,11/6/2017,AMZN,1125.349976
165,11/13/2017,AMZN,1129.880005
166,11/20/2017,AMZN,1186
167,11/27/2017,AMZN,1162.349976
168,12/4/2017,AMZN,1162
169,12/11/2017,AMZN,1179.140015
170,12/18/2017,AMZN,1168.359985
171,12/25/2017,AMZN,1169.469971
172,1/1/2018,AMZN,1229.140015
173,1/8/2018,AMZN,1305.199951
174,1/15/2018,AMZN,1294.579956
175,1/22/2018,AMZN,1402.050049
176,1/29/2018,AMZN,1429.949951
177,2/5/2018,AMZN,1339.599976
178,2/12/2018,AMZN,1448.689941
179,2/19/2018,AMZN,1500
180,2/26/2018,AMZN,1500.25
181,3/5/2018,AMZN,1578.890015
182,3/12/2018,AMZN,1571.680054
183,3/19/2018,AMZN,1495.560059
184,3/26/2018,AMZN,1447.339966
185,4/2/2018,AMZN,1405.22998
186,4/9/2018,AMZN,1430.790039
187,4/16/2018,AMZN,1527.48999
188,4/23/2018,AMZN,1572.619995
189,4/30/2018,AMZN,1580.949951
190,5/7/2018,AMZN,1602.910034
191,5/14/2018,AMZN,1574.369995
192,5/21/2018,AMZN,1610.150024
193,5/28/2018,AMZN,1641.540039
194,6/4/2018,AMZN,1683.98999
195,6/11/2018,AMZN,1715.969971
196,6/18/2018,AMZN,1715.670044
197,6/25/2018,AMZN,1699.800049
198,7/2/2018,AMZN,1710.630005
199,7/9/2018,AMZN,1813.030029
200,7/16/2018,AMZN,1813.699951
201,7/23/2018,AMZN,1817.27002
202,7/30/2018,AMZN,1823.290039
203,8/6/2018,AMZN,1886.300049
204,8/13/2018,AMZN,1882.219971
205,8/20/2018,AMZN,1905.390015
206,8/27/2018,AMZN,2012.709961
207,9/3/2018,AMZN,1952.069946
208,9/10/2018,AMZN,1970.189941
209,9/17/2018,AMZN,1915.01001
210,9/24/2018,AMZN,2003
211,10/1/2018,AMZN,1889.650024
212,10/8/2018,AMZN,1788.609985
213,10/15/2018,AMZN,1764.030029
214,10/22/2018,AMZN,1642.810059
215,10/29/2018,AMZN,1665.530029
216,11/5/2018,AMZN,1712.430054
217,11/12/2018,AMZN,1593.410034
218,11/19/2018,AMZN,1502.060059
219,11/26/2018,AMZN,1690.170044
220,12/3/2018,AMZN,1629.130005
221,12/10/2018,AMZN,1591.910034
222,12/17/2018,AMZN,1377.449951
223,12/24/2018,AMZN,1478.02002
224,12/31/2018,AMZN,1575.390015
225,1/7/2019,AMZN,1640.560059
226,1/14/2019,AMZN,1696.199951
227,1/21/2019,AMZN,1670.569946
228,1/28/2019,AMZN,1626.22998
229,2/4/2019,AMZN,1588.219971
230,2/11/2019,AMZN,1607.949951
231,2/18/2019,AMZN,1631.560059
232,2/25/2019,AMZN,1671.72998
233,3/4/2019,AMZN,1620.800049
234,3/11/2019,AMZN,1712.359985
235,3/18/2019,AMZN,1764.77002
236,3/25/2019,AMZN,1780.75
237,4/1/2019,AMZN,1837.280029
238,4/8/2019,AMZN,1843.060059
239,4/15/2019,AMZN,1861.689941
